PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,7.301887126,4.135586002,0.7388950729,0.1874173394,291,87.44208866,82.17308581,d,e/u,d,e/u,"139.62, 401.64","1959.25, 253.99",50.90695934,11.47098319,0.160035,0.25979,0,0.5204
5,5.97,3.44,0.76,0.14,462,74.0,63.0,d,e/u,d,e/u,"2713.85, 193.87","2911.47, 195.60",79.0,11.94017076,1.0,1.0,1,0.0
0,7.05,2.12,0.74,0.33,186,75.0,35.0,d,e/u,d,e/u,"3138.20, 228.91","1217.09, 746.95",32.0,12.14183008,0.0,0.0981446,0,0.0
2,6.46,3.1,0.7,0.31,94,65.0,70.0,d,e/u,d,e/u,"401.35, 199.96","1831.94, 174.66",83.0,11.3707394,0.0,0.0981446,0,0.4824
2,5.41,3.39,0.67,0.11,92,32.0,30.0,d,e/u,d,e/u,"817.12, 209.57","2504.14, 199.66",60.0,11.21449778,0.0,0.0981446,0,0.0226
0,7.12,3.68,0.6,0.23,192,37.0,85.0,d,e/u,d,e/u,"2974.93, 410.44","3634.84, 277.10",61.0,12.2472905,0.0,0.0981446,0,0.0
0,6.94,2.46,0.64,0.2,628,45.0,83.0,d,e/u,d,e/u,"2775.41, 236.20","2190.72, 647.18",76.0,11.23035416,0.0,0.0981446,0,0.0
0,7.12,3.68,0.6,0.23,578,37.0,85.0,d,e/u,d,e/u,"2974.93, 410.44","3634.84, 277.10",61.0,12.36176512,0.0,0.0981446,0,0.0
0,6.38,2.79,0.6,0.19,526,86.0,63.0,d,e/u,d,e/u,"1889.35, 340.61","631.28, 692.81",75.0,11.53805287,0.0,0.0981446,0,0.0
1,7.01,2.83,0.62,0.11,110,22.0,52.0,d,e/u,d,e/u,"419.22, 199.33","1140.80, 194.22",70.0,11.49312296,0.0,0.0981446,0,0.0997
0,7.42,2.81,0.72,0.16,232,78.0,76.0,d,e/u,d,e/u,"314.92, 157.46","2292.61, 482.03",42.0,11.31400422,0.0,0.0981446,0,0.4104
0,5.91,3.66,0.72,0.16,246,81.0,83.0,d,e/u,d,e/u,"267.30, 157.62","4377.75, 457.08",79.0,11.79968971,0.114648,0.214562,0,0.0079
0,6.39,3.21,0.61,0.27,121,90.0,78.0,d,e/u,d,e/u,"245.91, 122.83","4004.57, 246.63",75.0,11.67338544,0.0,0.0981446,0,0.62
0,7.38,2.75,0.59,0.3,250,39.0,74.0,d,e/u,d,e/u,"1853.71, 166.59","755.82, 276.56",41.0,11.2806308,0.0,0.0981446,0,0.0
5,7.23,4.3,0.66,0.24,167,61.0,46.0,d,e/u,d,e/u,"5485.22, 133.51","2882.08, 197.64",98.0,11.98770016,1.0,1.0,1,0.0
0,6.23,3.85,0.55,0.21,513,42.0,96.0,d,e/u,d,e/u,"2737.48, 327.36","1231.01, 749.07",67.0,11.97728287,0.901855,1.0,1,0.0586
0,6.67,2.59,0.76,0.18,144,58.0,76.0,d,e/u,d,e/u,"1913.61, 326.97","825.52, 691.49",69.0,11.35857658,0.0,0.0981446,0,0.0
0,5.65,3.24,0.71,0.27,100,86.0,80.0,d,e/u,d,e/u,"327.00, 161.77","4200.11, 792.34",85.0,11.63123172,0.0,0.0981446,0,0.0532
4,6.26,2.38,0.77,0.39,156,72.0,59.0,d,e/u,d,e/u,"2111.92, 181.54","2909.87, 195.39",92.0,12.18507066,0.901855,1.0,1,0.9993
5,5.97,3.44,0.76,0.14,231,74.0,63.0,d,e/u,d,e/u,"2594.32, 190.47","2839.13, 209.03",79.0,11.8732674,1.0,1.0,1,0.0
0,6.23,3.65,0.64,0.17,329,38.0,98.0,d,e/u,d,e/u,"1427.61, 714.67","1495.42, 387.52",33.0,12.138974,0.0,0.0981446,0,0.0913
0,6.36,3.68,0.5,0.15,273,42.0,98.0,d,e/u,d,e/u,"4377.50, 337.95","2412.61, 597.02",70.0,11.80190255,0.0,0.0981446,0,0.8896
0,7.27,3.92,0.51,0.36,502,75.0,93.0,d,e/u,d,e/u,"3400.55, 234.86","1633.80, 357.55",52.0,12.35844417,0.901855,1.0,1,0.3574
0,7.17,3.62,0.71,0.16,221,69.0,60.0,d,e/u,d,e/u,"403.29, 171.22","1596.10, 315.44",33.0,12.19211041,0.0,0.0981446,0,0.0329
0,6.25,2.45,0.64,0.17,1,91.0,31.0,d,e/u,d,e/u,"310.72, 131.25","618.66, 271.69",45.0,12.12544735,0.0,0.0981446,0,0.0565
0,6.09,2.93,0.69,0.2,661,72.0,35.0,d,e/u,d,e/u,"3648.55, 292.68","2405.18, 406.77",34.0,12.2023861,0.0413775,0.141115,0,0.5293
0,7.23,4.3,0.66,0.24,503,61.0,46.0,d,e/u,d,e/u,"128.43, 521.68","158.09, 205.08",98.0,12.08801127,0.459921,0.559832,1,0.0069
0,5.91,3.66,0.72,0.16,246,81.0,83.0,d,e/u,d,e/u,"267.30, 157.62","4377.75, 457.08",79.0,11.79967569,0.085612,0.185254,0,0.007
0,7.41,3.84,0.78,0.14,345,86.0,72.0,d,e/u,d,e/u,"268.18, 133.10","3541.71, 676.44",42.0,11.63694407,0.149088,0.248781,0,0.01
4,5.94,4.09,0.55,0.34,206,95.0,73.0,d,e/u,d,e/u,"2865.39, 191.72","2906.42, 194.69",44.0,11.32374512,0.901855,1.0,1,0.0809
5,6.23,3.85,0.55,0.21,171,42.0,96.0,d,e/u,d,e/u,"2924.05, 196.39","2828.56, 193.77",67.0,11.87518638,1.0,1.0,1,0.0
0,6.29,2.76,0.79,0.16,337,65.0,57.0,d,e/u,d,e/u,"325.88, 158.79","4338.47, 298.47",31.0,11.525585,0.0,0.0981446,0,0.0343
0,6.38,2.79,0.6,0.19,1,86.0,63.0,d,e/u,d,e/u,"1889.35, 340.61","631.28, 692.81",75.0,11.38438262,0.0,0.0981446,0,0.0
1,6.42,3.7,0.53,0.38,195,83.0,32.0,d,e/u,d,e/u,"110.69, 488.87","519.32, 262.95",83.0,11.19922654,0.901855,1.0,1,0.2609
0,5.71,4.34,0.66,0.26,294,48.0,67.0,d,e/u,d,e/u,"3313.08, 212.76","3635.85, 690.65",42.0,12.37029545,0.328317,0.428233,0,0.0561
0,6.63,2.32,0.64,0.35,603,56.0,73.0,d,e/u,d,e/u,"104.91, 208.84","2206.47, 300.61",84.0,11.25777779,0.489766,0.589638,1,0.0377
0,6.96,2.91,0.59,0.16,381,80.0,78.0,d,e/u,d,e/u,"266.63, 131.84","1354.43, 361.91",33.0,11.47529288,0.0,0.0981446,0,0.7495
3,5.05,2.23,0.61,0.13,89,33.0,47.0,d,e/u,d,e/u,"453.58, 189.26","2790.44, 200.64",72.0,11.49639291,0.0,0.0981446,0,0.1542
0,5.54,3.88,0.66,0.11,315,72.0,54.0,d,e/u,d,e/u,"833.55, 205.47","2652.23, 681.42",92.0,11.4225277,0.0169465,0.116203,0,0.9505
1,5.94,4.09,0.55,0.34,411,95.0,73.0,d,e/u,d,e/u,"378.77, 163.12","1329.85, 255.25",44.0,11.38324365,0.4065,0.506436,0,0.3592
0,6.87,3.35,0.59,0.3,508,59.0,59.0,d,e/u,d,e/u,"4332.25, 220.93","1623.48, 284.73",76.0,12.30002911,0.901855,1.0,1,0.3648
