id,ORCH_1_Dstop(%),ORCH_1_Drestart(%),ORCH_1_Fstop(%),ORCH_1_Frestart(%),PSCS__TAU(%),HUM_1_VEL(%),HUM_2_VEL(%),HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X(%),HUM_1_POS_Y(%),HUM_2_POS_X(%),HUM_2_POS_Y(%),ROB_1_VEL(%),ROB_1_CHG(%)
37,0.6581997723400029,0.14767796862864344,0.6340241843624727,0.2752915401396736,0.013333333333333334,0.3168120018069098,0.16766426009166446,1.0,0.0,1.0,0.0,1.0,1.0,0.009025000000000009,0.009466666666666679,0.003393181818181884,0.005216666666666659,0.12987571172655601,0.4706556769230768
38,0.4615659477618664,0.3215497335771612,0.0474726023752329,0.918856104100148,0.0,0.29729828415159726,0.15386737876675727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26401471141611543,0.0
39,0.7567343136360047,0.6949974008260312,0.5844379545012242,0.6245244551239479,0.0,0.3563549752396802,0.3225838776452165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7966416446840839,0.0
40,0.9668603021698775,0.2844510159248628,0.249166172925855,0.6598155910902526,0.0,0.26783941643373643,0.6512378947728154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04915458106729764,0.0
41,0.08139223880865884,0.44499680083334725,0.06493965591615412,0.08705466406112897,0.0,0.24386735748080782,0.24552138716991712,1.0,1.0,0.0,2.0,0.0,2.0,0.006120454545454508,0.016666666666666666,0.0019590909090909875,0.010366666666666665,0.4333030959890084,0.011357199999999335
42,0.5355880494560299,0.15037016589754443,0.452634281274149,0.33829338834751954,0.0,0.5266295307101303,0.029904436887635503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975715933980235,0.0
43,0.25410373180270157,0.3099793965053067,0.19234302967496025,0.14386819027954392,0.0,0.17163032370902503,0.0019953243583383288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196552915309017,0.0
44,0.32252079119801846,0.38913904987554365,0.2874018721642383,0.2690116469919151,0.0,0.02678190222129544,0.3366112198384678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06876639386369894,0.0
45,0.19466356734240337,0.022239650127395195,0.15772020511232496,0.06649647365612817,0.0,0.1811878707256706,0.10050093384590103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18197459923514267,0.0
46,0.38983294032393945,0.013171999534828237,0.7697246903469955,0.1605451187358884,0.0,0.24724205222643758,0.3246814129829742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25440872342449594,0.0
47,0.013364974714147238,0.06321765276499178,0.4644529096964703,0.6956323919826208,0.0,0.11381479612227921,0.12706056531171542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5068038864812623,0.0
48,0.39114184545592534,0.050940525354876164,0.7108057672665515,0.6723892531596636,0.0,0.10840790413827678,0.32221570112076003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09353425997712758,0.0
49,0.37795577826662735,0.04536475781584563,0.43692815521722655,0.3727153497400516,0.0022222222222222222,0.160252074099405,0.05703306489726704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5950180977706496,3.758461538438949e-05
