PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
0.0,6.38,2.79,0.6,0.19,1.0,86.0,63.0,0.0,0.0,1.0,2.0,1.0,1.0,1889.35,340.61,631.28,692.81,75.0,11.38438262,0.05125961200000001
1.0,6.42,3.7,0.53,0.38,195.0,83.0,32.0,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,83.0,11.19922654,0.11836621800000004
0.0,5.71,4.34,0.66,0.26,294.0,48.0,67.0,2.0,0.0,0.0,2.0,1.0,2.0,3313.08,212.76,3635.85,690.65,42.0,12.37029545,0.36520318423412695
0.0,6.63,2.32,0.64,0.35,603.0,56.0,73.0,1.0,0.0,1.0,1.0,1.0,0.0,104.91,208.84,2206.47,300.61,84.0,11.25777779,0.3279952781666664
0.0,6.96,2.91,0.59,0.16,381.0,80.0,78.0,1.0,1.0,2.0,0.0,0.0,1.0,266.63,131.84,1354.43,361.91,33.0,11.47529288,0.1501558850000002
3.0,5.05,2.23,0.61,0.13,89.0,33.0,47.0,0.0,1.0,1.0,1.0,0.0,2.0,453.58,189.26,2790.44,200.64,72.0,11.49639291,0.12432258400000025
0.0,5.54,3.88,0.66,0.11,315.0,72.0,54.0,1.0,0.0,2.0,1.0,1.0,0.0,833.55,205.47,2652.23,681.42,92.0,11.4225277,0.5030077885555552
1.0,5.94,4.09,0.55,0.34,411.0,95.0,73.0,2.0,0.0,1.0,1.0,0.0,2.0,378.77,163.12,1329.85,255.25,44.0,11.38324365,0.12601241983333353
0.0,6.87,3.35,0.59,0.3,508.0,59.0,59.0,0.0,1.0,1.0,2.0,1.0,0.0,4332.25,220.93,1623.48,284.73,76.0,12.30002911,0.1672166737500001
0.0,7.29,2.83,0.65,0.32,193.0,58.0,79.0,1.0,1.0,0.0,2.0,1.0,1.0,1321.31,169.69,4434.23,442.63,78.0,11.7797539,0.29628475799999976
0.0,6.21,3.04,0.68,0.27,687.0,43.0,77.0,0.0,1.0,2.0,1.0,1.0,0.0,169.43,713.47,3733.34,215.79,94.0,11.34362422,0.5360236696666664
2.0,5.64,4.07,0.54,0.17,171.0,34.0,57.0,1.0,1.0,2.0,0.0,1.0,0.0,394.58,226.31,2083.46,212.93,83.0,12.37085047,0.31326945426190467
1.0,6.29,2.76,0.79,0.16,168.0,65.0,57.0,1.0,1.0,1.0,1.0,0.0,1.0,296.82,143.14,1497.72,198.08,31.0,11.47594115,0.07438360549999994
0.0,7.01,4.45,0.66,0.36,330.0,76.0,75.0,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,35.0,11.71598751,0.04907230000000001
0.0,5.89,3.2,0.5,0.18,199.0,65.0,68.0,0.0,0.0,0.0,1.0,1.0,1.0,3059.04,338.15,2547.95,572.69,70.0,11.11415792,0.04907230000000001
0.0,7.41,3.84,0.78,0.14,518.0,86.0,72.0,1.0,1.0,0.0,2.0,0.0,1.0,3669.82,251.12,3541.71,676.44,42.0,11.68937762,0.3502783749999997
5.0,5.45,3.84,0.55,0.15,231.0,51.0,55.0,1.0,0.0,1.0,0.0,0.0,1.0,2744.03,193.75,2937.77,196.4,38.0,11.11744756,0.07760013099999997
0.0,5.15,4.13,0.79,0.11,165.0,51.0,52.0,0.0,0.0,0.0,1.0,1.0,1.0,367.53,177.39,2229.06,294.91,54.0,12.21932573,0.11695629500000022
0.0,6.23,3.65,0.64,0.17,219.0,38.0,98.0,0.0,0.0,0.0,0.0,1.0,2.0,206.72,194.35,1495.42,387.52,33.0,12.10530374,0.1638654275000001
0.0,6.25,2.45,0.64,0.17,1.0,91.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,310.72,131.25,618.66,271.69,45.0,12.12544273,0.12078280711904776
1.0,6.13,4.36,0.74,0.24,166.0,36.0,56.0,0.0,1.0,1.0,0.0,1.0,1.0,402.89,183.86,3785.3,270.22,89.0,11.09418635,0.5282219666666664
1.0,6.42,3.7,0.53,0.38,389.0,83.0,32.0,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,83.0,11.13677176,0.15350033000000013
0.0,7.474646443,2.185449915,0.5745216286,0.246769788,396.0,63.10435456,59.08544908,0.0,1.0,0.0,2.0,1.0,1.0,3537.6,727.65,3282.57,257.79,36.27957971,11.50808178,0.28633027299999986
0.0,6.55,3.49,0.51,0.38,156.0,77.0,95.0,1.0,0.0,2.0,1.0,1.0,0.0,302.06,149.91,3537.83,710.51,45.0,12.0804672,0.24107756366666674
0.0,7.05,2.13,0.64,0.29,466.0,98.0,67.0,0.0,0.0,1.0,1.0,0.0,1.0,3922.46,260.71,1380.68,415.8,82.0,11.65040445,0.1993652061666667
0.0,7.05,2.12,0.74,0.33,372.0,75.0,35.0,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,32.0,12.19614013,0.18453442383333332
1.0,6.13,4.27,0.73,0.26,305.0,86.0,67.0,1.0,1.0,1.0,1.0,1.0,2.0,106.39,414.63,1398.98,761.93,91.0,11.61138789,0.38787835122222203
1.0,6.82,3.14,0.74,0.26,240.0,82.0,21.0,2.0,0.0,0.0,2.0,0.0,0.0,626.46,192.2,1562.56,221.38,72.0,11.54908043,0.10741501100000005
0.0,5.18,3.3,0.77,0.21,427.0,64.0,79.0,1.0,1.0,2.0,2.0,0.0,0.0,1867.55,234.08,2356.35,560.55,83.0,11.92814216,0.22411306700000005
0.0,6.36,3.68,0.5,0.15,91.0,42.0,98.0,1.0,0.0,2.0,2.0,0.0,0.0,2152.64,163.55,2412.61,597.02,70.0,11.74705359,0.15178020500000008
0.0,7.12,3.59,0.53,0.11,143.0,38.0,79.0,0.0,0.0,2.0,1.0,0.0,1.0,2247.97,177.36,176.55,363.53,76.0,11.11046584,0.04907230000000001
5.0,6.63,2.32,0.64,0.35,201.0,56.0,44.0,1.0,0.0,1.0,1.0,1.0,0.0,2760.6,194.51,2840.8,201.48,84.0,11.13855839,0.15046942850000014
1.0,7.01,2.83,0.62,0.11,110.0,22.0,52.0,2.0,0.0,0.0,0.0,1.0,1.0,531.15,195.49,1171.79,194.91,70.0,11.49311825,0.04907230000000001
0.0,7.29,2.83,0.65,0.32,193.0,58.0,79.0,1.0,1.0,0.0,2.0,1.0,1.0,973.5,181.13,4434.23,442.63,78.0,11.77975685,0.29601872499999976
5.0,7.05,2.13,0.64,0.29,1.0,98.0,67.0,0.0,0.0,1.0,1.0,0.0,1.0,2766.35,194.56,2864.11,197.4,82.0,11.51361026,0.08520027000000002
4.0,5.05,2.23,0.61,0.13,89.0,33.0,78.0,0.0,1.0,1.0,1.0,0.0,2.0,1520.19,198.44,2896.08,198.18,72.0,11.49640193,0.08541254699999992
0.0,6.94,2.46,0.64,0.2,419.0,45.0,83.0,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,76.0,11.16707193,0.1266113560000002
0.0,6.67,2.59,0.76,0.18,434.0,58.0,76.0,0.0,0.0,2.0,1.0,1.0,1.0,1913.61,326.97,825.52,691.49,69.0,11.44520403,0.1410303658333335
0.0,6.8,2.67,0.67,0.24,545.0,54.0,89.0,1.0,1.0,0.0,1.0,1.0,1.0,4374.08,403.67,1396.45,718.65,80.0,11.47632097,0.11689775833333355
5.0,5.03,2.14,0.74,0.25,428.0,43.0,56.0,2.0,1.0,1.0,0.0,1.0,0.0,2916.38,194.9,2874.44,198.37,66.0,11.87171723,0.2513154920833332
